brand,name,price,image,link
Balenciaga,BALENCIAGA Natural Smooth Calfskin Mini Rodeo Top Handle Handbag Black Shows Wear Est. Retail 25% below retail,2250,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/a6c56e4fd2a66b86ebc7c824ae12d55e.jpg?v=1777913952&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/balenciaga-natural-smooth-calfskin-mini-rodeo-top-handle-handbag-black-1874736
Prada,PRADA Nappa Small Dada Shoulder Bag Avorio Excellent Est. Retail 15% below retail,2650,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/2271622c1be8a91c5750b178edcf3745.jpg?v=1774984338&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/prada-nappa-small-dada-shoulder-bag-avorio-1847329
Loewe,LOEWE Calfskin Goya Backpack Black Shows Wear Est. Retail 63% below retail,895,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/988ebd24f6942c47a79565ad2939c669.jpg?v=1777112125&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/loewe-calfskin-goya-backpack-black-1855489
Miu Miu,MIU MIU Nappa Matelasse Lux Shoulder Bag Black Shows Wear,550,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/f8d35b8e089e1b423b0c96eb3f21003c.jpg?v=1776593080&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/miu-miu-nappa-matelasse-lux-shoulder-bag-black-1860977
Dior,CHRISTIAN DIOR Grained Calfskin Mini Saddle Bag Light Pink Excellent,3050,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/a87d4492741827ba656467382402bebb.jpg?v=1776852294&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/christian-dior-grained-calfskin-mini-saddle-bag-light-pink-1860361
Saint Laurent,SAINT LAURENT Suede Matelasse Monogram Large Jamie 4.3 Snuff Shows Wear Est. Retail 20% below retail,3670,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/eca7106ae881925676f713c3796f0a55.jpg?v=1764847150&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/saint-laurent-suede-matelasse-monogram-large-jamie-43-snuff-1755700
Louis Vuitton,LOUIS VUITTON Mahina Babylone Chain BB Galet Excellent Est. Retail 47% below retail,2095,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/663a88505e619bfe3958da99559ffcd9.jpg?v=1775663227&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/louis-vuitton-mahina-babylone-chain-bb-galet-1837499
Chanel,CHANEL Lambskin Quilted XL Jumbo Single Flap Black Shows Wear Est. Retail 34% below retail,4095,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/4f083ea59a31299ae34c7d34feb1c2f8.jpg?v=1774692459&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-lambskin-quilted-xl-jumbo-single-flap-black-1840931
Gucci,GUCCI GG Supreme Monogram Mini Cherry Chain Bag Excellent,950,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/f276c290a53cfdfd0f61cb9f19eb7b5b.jpg?v=1770927699&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/gucci-gg-supreme-monogram-mini-cherry-chain-bag-1814920
Chanel,CHANEL Caviar Quilted Timeless Clutch Light Beige Excellent Est. Retail 1% below retail,2280,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/1e6be46076873b6d3dc56808ca7eba7c.jpg?v=1770219877&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-caviar-quilted-timeless-clutch-light-beige-1807637
Hermes,HERMES Tadelakt Constance 18 Rouge Vif Shows Wear,9785,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/1a78d8632453e8a237949987023ef3e7.jpg?v=1767860442&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/hermes-tadelakt-constance-18-rouge-vif-1596016
Chanel,CHANEL Lambskin Printed Fabric Medium Chanel 19 Flap Black Multicolor Excellent,6625,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/d86b0cdcc8a0fa70b13d81974b1bc854.jpg?v=1764846202&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-lambskin-printed-fabric-medium-chanel-19-flap-black-multicolor-1769046
Chanel,CHANEL Tweed Small Messenger Flap Navy Shows Wear,4380,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/ea906dc7e7e4d0efb0f5f26e001b0896_775a5c1b-6821-41f2-b8c3-f7f15ad7b9cf.jpg?v=1764849877&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-tweed-small-messenger-flap-navy-1675145
Gucci,GUCCI GG Supreme Monogram Calfskin Medium Padlock Top Handle Bag Beige Black Cuir Shows Wear Est. Retail 47% below retail,1220,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/dbbcb93220bb5cb0f9b6f3712430f6f0.jpg?v=1770375730&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/gucci-gg-supreme-monogram-calfskin-medium-padlock-top-handle-bag-beige-black-cuir-1808682
Gucci,GUCCI Calfskin Matelasse Large GG Marmont Shoulder Bag Black Shows Wear Est. Retail 53% below retail,1395,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/5a23dc7a2b5e0539ea8f952f615e7ac5.jpg?v=1776506775&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/gucci-calfskin-matelasse-large-gg-marmont-shoulder-bag-black-1858213
